epoch,train_loss,train_acc,test_loss,test_acc
8,0.6569378288078308,76.888,0.8369991223335266,71.73
9,0.6179552441596985,78.18,0.8447386401176452,71.24
10,0.5814327248001099,79.44,0.8445901928901672,71.83
11,0.5403756991004944,80.786,0.8515916725158691,72.01
12,0.5084483202219009,81.99,0.8372101833343506,72.83
13,0.48422578926086424,82.814,0.8619780757904053,72.02
14,0.44806173543930056,84.036,0.9523618967056274,69.5
15,0.4156341441726685,85.316,0.8988618968486786,72.73
16,0.3936204652404785,86.0,0.9158157121658326,72.41
