epoch,train_loss,train_acc,test_loss,test_acc
0,1.655073466682434,37.46,1.360759369277954,50.6
1,1.3278565622711183,52.91,1.1862582304000855,58.37
2,1.2040316578292847,58.696,1.149629257965088,59.6
3,1.1199589200210571,61.974,1.08503170337677,63.84
4,1.060260066204071,64.156,1.0018615340232848,65.51
5,1.0098899851512908,66.234,0.958747021484375,67.27
6,0.9679019590187072,67.77,0.9530875875473023,67.33
7,0.9349998452568055,69.112,0.9677373328208924,67.52
8,0.9091241175270081,69.91,0.9866331693649292,67.4
9,0.8810747071647644,70.652,0.9963942582130432,66.43
