epoch,train_loss,train_acc,test_loss,test_acc
20,1.450678194770813,48.802,0.9810421539306641,68.33
21,1.3537143951797486,52.546,0.9638965644836426,68.91
22,1.3182989990234375,53.802,0.9691138496398926,69.11
23,1.3079811185073853,54.69,1.0311351990699769,67.84
24,1.3113233415222167,54.502,1.0160755291938781,67.68
25,1.3002946857452393,54.976,1.231156282043457,62.44
26,1.288337374343872,55.06,1.021904128265381,67.17
27,1.2724356160354615,55.594,1.0498555881500244,65.68
28,1.281944734764099,55.43,1.0927142036914825,65.42
29,1.2767740365219116,55.542,1.041490464401245,68.51
