epoch,train_loss,train_acc,test_loss,test_acc
0,1.488888724822998,45.4,1.1289820476531982,60.48
1,1.096235124092102,62.562,0.965493532371521,65.31
2,0.9248404793930054,69.012,0.8067552595615387,72.69
3,0.8170941773796081,72.876,0.800822029018402,73.07
4,0.7372373321151734,75.914,0.7560613107204437,74.4
5,0.6756598379039764,78.096,0.6546475646018982,78.2
6,0.622288083114624,79.944,0.6491175487995148,78.48
7,0.5812278120708465,81.324,0.6270444026947022,79.28
8,0.5359335634088517,82.948,0.6071232365608216,79.86
9,0.5099480473852157,83.752,0.6494366585731506,79.88
