epoch,train_loss,train_acc,test_loss,test_acc
0,1.9416558087539673,23.588,1.5778069728851318,38.53
1,1.6112704825592041,37.478,1.4212388479232787,44.58
2,1.4891943813323976,43.624,1.3364746349334717,50.23
3,1.4048157328033448,47.482,1.2358923204421997,53.66
4,1.3488275713539124,50.29,1.20383131275177,55.79
5,1.2911742628097533,52.764,1.182515392112732,58.23
6,1.2615445137023926,54.69,1.1340704414367675,59.68
7,1.225461579360962,56.628,1.0789454005241395,61.28
8,1.1907172660446168,58.592,1.1128134955406188,61.07
9,1.156368125152588,60.012,1.0650933714866637,63.16
10,1.132050256919861,61.164,1.0427114185333253,64.56
11,1.1040130195999145,62.45,1.009690398979187,65.59
12,1.086769912071228,63.038,0.9958679140090942,65.96
13,1.0596470000076295,64.258,1.0644227237701416,64.8
14,1.0447955584144593,64.86,0.9876454191207886,66.82
15,1.0275668312835693,65.824,1.0102421095848084,66.15
16,1.0128592053413392,66.072,1.000187080669403,65.72
17,0.9986720505332947,66.784,0.9978260115623474,66.9
18,0.9791791958236694,67.404,1.0071320906639099,66.84
19,0.9689606077003479,67.602,0.9726605409622192,67.4
20,0.9603780349731446,68.038,1.010550060558319,66.98
21,0.9525727042961121,68.45,1.0005075107574464,67.39
22,0.9330494332313538,69.062,0.9659871817588807,68.29
23,0.9279892493057251,69.268,0.965794026851654,68.22
24,0.9158618284988403,69.494,0.9861925612449646,67.94
25,0.9062446368408204,69.872,1.0406923951148987,67.19
26,0.9055457599258423,70.116,0.9423101957321167,69.59
27,0.891932050151825,70.724,0.9521270729064941,68.72
28,0.8917665922927857,70.694,0.9593274326324462,68.57
29,0.8756629721069336,71.27,0.9904697996139527,68.92
30,0.8700171316337586,71.418,0.9762452641487122,68.53
31,0.8610339192008972,71.25,0.9659706415176391,69.07
32,0.8518062103843689,71.944,0.9820933149337768,69.12
33,0.8526339149665833,72.19,0.9541419355392456,69.43
34,0.8347441782569885,72.282,0.968386461353302,69.69
35,0.8441813250160217,72.244,0.9736428522109986,69.68
36,0.8295442927455902,72.848,1.0315049222946167,69.3
37,0.8250714233970642,73.062,1.0038120701789857,69.15
38,0.8074882645225525,73.024,1.0228902333259582,69.61
39,0.8176688278198242,73.05,1.010401972103119,69.02
