epoch,train_loss,train_acc,test_loss,test_acc
10,0.85470288854599,71.972,1.0087650235176087,67.01
11,0.8339996858215332,72.624,0.888672755241394,70.45
12,0.8070888845157623,73.472,0.9816013635635376,67.19
13,0.7910307886314392,73.876,0.9298311551094055,69.11
14,0.7749840023326874,74.312,0.8896332648277283,70.51
15,0.7579077284622192,75.056,0.9262233074188232,70.79
16,0.7419402377891541,75.632,0.9383875849723816,69.35
17,0.7317016068458557,75.866,0.9101505922794342,71.0
18,0.7184362012577057,76.354,0.9332519234657287,70.89
19,0.7049444083023071,76.792,0.9360623827934265,70.33
