epoch,train_loss,train_acc,test_loss,test_acc
10,0.9185787072944641,69.694,0.8622808847427368,70.82
11,0.9021350613403321,70.12,0.8933703623771667,69.75
12,0.8882430498886108,70.578,0.9013680231094361,69.96
13,0.8683708088111878,71.274,0.8462268221855164,71.42
14,0.8482372498512268,72.104,0.8497924334526062,71.27
15,0.8458844886398316,72.208,0.8790331497192383,70.69
16,0.8320053213310241,72.362,0.8276920845031738,72.41
17,0.8214334460067749,72.866,0.8240509062767029,72.37
18,0.8126988053321839,73.33,0.8574610953807831,71.78
19,0.8004768279457092,73.524,0.8431838271141052,71.54
